Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","1990","1990","%","70.75","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","1991","1991","%","69.84","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","1992","1992","%","69.01","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","1993","1993","%","68.63","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","1994","1994","%","70.14","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","1995","1995","%","68.61","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","1996","1996","%","67.09","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","1997","1997","%","65.49","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","1998","1998","%","66.58","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","1999","1999","%","69.04","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2000","2000","%","72.22","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2001","2001","%","72.94","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2002","2002","%","71.18","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2003","2003","%","62.7","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2004","2004","%","69.13","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2005","2005","%","63.66","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2006","2006","%","66.84","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2007","2007","%","65.86","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2008","2008","%","61.58","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2009","2009","%","61.57","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2010","2010","%","56.25","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2011","2011","%","69.86","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2012","2012","%","69.56","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2013","2013","%","63.5","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2014","2014","%","67.19","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2015","2015","%","63.87","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2016","2016","%","59.63","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2017","2017","%","66.86","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2018","2018","%","66.54","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2019","2019","%","55.94","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2020","2020","%","54.53","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2021","2021","%","62.26","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","6995","Emissions on agricultural land","2022","2022","%","63.32","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","1990","1990","%","89.79","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","1991","1991","%","89.96","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","1992","1992","%","88.77","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","1993","1993","%","88.63","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","1994","1994","%","88.41","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","1995","1995","%","87.72","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","1996","1996","%","85.72","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","1997","1997","%","85.13","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","1998","1998","%","85","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","1999","1999","%","86.64","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2000","2000","%","90.66","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2001","2001","%","90.29","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2002","2002","%","88.93","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2003","2003","%","80.69","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2004","2004","%","88.14","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2005","2005","%","84.9","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2006","2006","%","84.73","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2007","2007","%","85.89","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2008","2008","%","83.7","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2009","2009","%","82.6","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2010","2010","%","81.91","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2011","2011","%","89.49","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2012","2012","%","88.81","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2013","2013","%","82.25","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2014","2014","%","84.77","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2015","2015","%","84.36","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2016","2016","%","80.61","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2017","2017","%","85.62","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2018","2018","%","84.73","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2019","2019","%","70.52","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2020","2020","%","72.43","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2021","2021","%","83.23","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","6995","Emissions on agricultural land","2022","2022","%","83.14","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","1990","1990","%","0.19","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","1991","1991","%","0.19","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","1992","1992","%","0.15","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","1993","1993","%","0.17","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","1994","1994","%","0.18","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","1995","1995","%","0.17","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","1996","1996","%","0.2","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","1997","1997","%","0.23","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","1998","1998","%","0.22","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","1999","1999","%","0.22","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2000","2000","%","0.22","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2001","2001","%","0.21","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2002","2002","%","0.2","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2003","2003","%","0.25","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2004","2004","%","0.26","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2005","2005","%","0.3","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2006","2006","%","0.24","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2007","2007","%","0.24","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2008","2008","%","0.29","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2009","2009","%","0.29","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2010","2010","%","0.33","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2011","2011","%","0.23","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2012","2012","%","0.23","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2013","2013","%","0.3","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2014","2014","%","0.27","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2015","2015","%","0.27","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2016","2016","%","0.29","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2017","2017","%","0.27","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2018","2018","%","0.24","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2019","2019","%","0.23","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2020","2020","%","0.26","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2021","2021","%","0.33","E","Estimated value"
"EM","Emissions indicators","036","Australia","7265","Emissions Share (CH4)","5084","Emissions from crops","2022","2022","%","0.33","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","1990","1990","%","5.6","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","1991","1991","%","5.8","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","1992","1992","%","5.75","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","1993","1993","%","6.78","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","1994","1994","%","7.1","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","1995","1995","%","6.92","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","1996","1996","%","9.57","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","1997","1997","%","10.42","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","1998","1998","%","10.48","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","1999","1999","%","9.4","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2000","2000","%","8.34","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2001","2001","%","7.93","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2002","2002","%","8.26","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2003","2003","%","10.51","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2004","2004","%","10.85","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2005","2005","%","12.84","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2006","2006","%","9.4","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2007","2007","%","8.33","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2008","2008","%","11.21","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2009","2009","%","11.13","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2010","2010","%","15.02","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2011","2011","%","8.85","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2012","2012","%","9.11","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2013","2013","%","14.57","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2014","2014","%","13.95","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2015","2015","%","13.81","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2016","2016","%","18.16","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2017","2017","%","14.92","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2018","2018","%","13.23","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2019","2019","%","13.25","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2020","2020","%","20.38","E","Estimated value"
"EM","Emissions indicators","036","Australia","7266","Emissions Share (N2O)","5084","Emissions from crops","2021","2021","%","23.67","E","Estimated value"
